FIPS,yield,Year,lat,lon,Precipitation January,Precipitation February,Precipitation March,Precipitation April,Precipitation May,Precipitation June,Precipitation July,Precipitation August,Precipitation September,Precipitation October,Precipitation November,Precipitation December,Average Temperature January,Average Temperature February,Average Temperature March,Average Temperature April,Average Temperature May,Average Temperature June,Average Temperature July,Average Temperature August,Average Temperature September,Average Temperature October,Average Temperature November,Average Temperature December,Maximum Temperature January,Maximum Temperature February,Maximum Temperature March,Maximum Temperature April,Maximum Temperature May,Maximum Temperature June,Maximum Temperature July,Maximum Temperature August,Maximum Temperature September,Maximum Temperature October,Maximum Temperature November,Maximum Temperature December,Minimum Temperature January,Minimum Temperature February,Minimum Temperature March,Minimum Temperature April,Minimum Temperature May,Minimum Temperature June,Minimum Temperature July,Minimum Temperature August,Minimum Temperature September,Minimum Temperature October,Minimum Temperature November,Minimum Temperature December,Heating Degree Days January,Heating Degree Days February,Heating Degree Days March,Heating Degree Days April,Heating Degree Days May,Heating Degree Days June,Heating Degree Days July,Heating Degree Days August,Heating Degree Days September,Heating Degree Days October,Heating Degree Days November,Heating Degree Days December,Cooling Degree Days January,Cooling Degree Days February,Cooling Degree Days March,Cooling Degree Days April,Cooling Degree Days May,Cooling Degree Days June,Cooling Degree Days July,Cooling Degree Days August,Cooling Degree Days September,Cooling Degree Days October,Cooling Degree Days November,Cooling Degree Days December,crop
01015,44.0,1995,33.77618973542812,-85.81892788371418,3.74,6.16,4.45,4.18,2.54,2.95,2.91,3.48,6.06,10.64,6.62,4.14,42.9,45.0,56.6,61.6,70.5,73.9,80.8,80.9,71.2,61.3,47.1,41.8,53.4,56.1,67.9,75.5,82.1,85.6,93.3,91.4,82.7,73.6,59.0,52.2,32.3,34.0,45.4,47.6,58.8,62.2,68.3,70.5,59.8,49.0,35.3,31.5,693.0,559.0,289.0,134.0,20.0,0.0,0.0,0.0,12.0,159.0,536.0,718.0,7.0,0.0,29.0,31.0,190.0,269.0,490.0,494.0,199.0,44.0,0.0,0.0,Wheat
01019,43.0,1995,34.17497968295821,-85.59996079989199,4.3,4.99,4.17,3.93,2.51,3.05,2.77,4.3,4.98,9.61,5.85,3.12,42.2,43.2,55.5,61.4,69.6,73.7,80.1,80.9,70.6,60.9,46.0,41.0,52.2,53.9,67.0,75.3,81.1,85.4,92.3,91.5,81.4,72.6,57.6,50.9,32.2,32.5,44.1,47.4,58.0,61.9,68.0,70.3,59.8,49.2,34.4,31.0,713.0,610.0,319.0,140.0,27.0,0.0,0.0,0.0,16.0,166.0,570.0,746.0,7.0,0.0,26.0,31.0,168.0,263.0,469.0,493.0,183.0,39.0,0.0,0.0,Wheat
01043,32.0,1995,34.127995016223636,-86.8733799099553,4.79,5.6,4.43,5.06,3.07,4.74,4.35,3.58,4.21,8.64,6.15,4.43,41.6,43.1,54.7,61.4,69.2,73.3,79.5,82.0,71.5,60.8,46.1,40.7,52.0,54.3,66.8,75.2,81.1,85.2,92.0,92.5,82.9,72.6,57.3,50.6,31.3,31.9,42.6,47.6,57.3,61.4,67.0,71.4,60.1,49.0,34.8,30.8,724.0,613.0,343.0,140.0,30.0,0.0,0.0,0.0,12.0,173.0,568.0,754.0,0.0,0.0,24.0,32.0,161.0,253.0,449.0,525.0,207.0,45.0,0.0,0.0,Wheat
01071,37.0,1995,34.78106081387498,-85.99804919713328,5.15,5.61,4.41,3.27,2.77,3.52,4.58,3.85,5.46,8.61,6.55,3.37,40.5,41.2,54.1,60.5,68.2,72.6,78.5,80.1,69.8,59.7,44.5,39.5,49.8,51.3,65.7,73.8,79.1,84.0,89.9,90.2,80.2,71.5,55.1,48.8,31.1,31.1,42.6,47.1,57.3,61.2,67.1,70.0,59.3,47.9,33.9,30.2,760.0,666.0,358.0,161.0,43.0,5.0,0.0,0.0,23.0,196.0,616.0,790.0,0.0,0.0,21.0,25.0,142.0,233.0,419.0,468.0,166.0,31.0,0.0,0.0,Wheat
01077,39.0,1995,34.90337685414468,-87.6491398858879,5.67,3.4,5.03,5.11,3.29,3.84,4.4,5.76,2.96,5.41,5.63,4.47,40.8,41.9,54.4,60.8,68.5,72.9,78.6,80.4,69.8,59.5,44.8,39.8,50.8,53.2,67.6,75.6,80.0,85.2,90.7,91.5,82.3,73.2,57.2,50.2,30.7,30.6,41.2,45.9,57.0,60.5,66.4,69.3,57.2,45.9,32.4,29.4,752.0,646.0,356.0,157.0,39.0,5.0,0.0,0.0,26.0,200.0,605.0,780.0,0.0,0.0,27.0,30.0,148.0,242.0,421.0,477.0,169.0,31.0,0.0,0.0,Wheat
01079,37.0,1995,34.51928062773837,-87.31379316943203,4.87,5.41,4.45,6.2,4.83,3.47,3.33,2.98,3.91,6.7,5.37,4.42,41.3,42.4,54.6,61.2,68.9,73.1,79.2,81.2,70.7,60.2,45.1,40.2,51.4,53.5,67.0,75.0,80.1,84.6,91.1,92.0,83.0,73.0,57.3,50.3,31.3,31.3,42.3,47.4,57.6,61.6,67.4,70.4,58.5,47.4,32.9,30.1,734.0,633.0,348.0,147.0,34.0,0.0,0.0,0.0,18.0,186.0,597.0,768.0,0.0,0.0,27.0,33.0,153.0,249.0,441.0,502.0,190.0,37.0,0.0,0.0,Wheat
01083,40.0,1995,34.81041614190275,-86.98448065995663,4.12,4.47,4.15,5.21,3.11,3.16,3.82,3.73,4.96,7.52,5.41,3.53,40.6,41.6,53.9,60.8,68.7,73.3,79.3,80.9,70.3,60.0,44.6,39.9,50.4,52.4,66.5,74.9,80.0,85.0,91.4,92.0,82.5,72.8,56.5,49.7,30.7,30.8,41.3,46.6,57.3,61.5,67.3,69.9,58.2,47.2,32.7,30.1,757.0,654.0,367.0,156.0,38.0,5.0,0.0,0.0,22.0,191.0,611.0,779.0,0.0,0.0,22.0,29.0,152.0,253.0,445.0,494.0,181.0,37.0,0.0,0.0,Wheat
01089,43.0,1995,34.762676175755715,-86.55163054971966,4.24,5.57,3.93,4.55,3.56,3.99,4.34,3.33,5.33,7.39,5.8,3.78,40.6,41.8,53.9,60.7,68.3,73.1,79.1,80.7,70.4,60.1,44.8,39.9,50.3,52.2,66.2,74.5,79.7,84.8,90.9,91.6,81.9,72.7,56.5,49.6,31.0,31.3,41.6,46.8,56.9,61.4,67.3,69.8,58.8,47.6,33.2,30.3,755.0,651.0,365.0,157.0,42.0,5.0,0.0,0.0,22.0,189.0,604.0,777.0,0.0,0.0,21.0,27.0,144.0,248.0,437.0,488.0,182.0,38.0,0.0,0.0,Wheat
01093,33.0,1995,34.13605357143094,-87.8879841161509,5.57,6.49,6.0,8.18,4.24,4.21,5.56,3.43,2.82,5.32,5.97,4.9,41.9,42.8,55.5,60.7,69.4,73.3,79.3,81.2,71.3,60.1,45.2,41.3,51.7,54.0,67.7,74.6,80.6,85.0,90.6,91.4,83.7,73.4,57.4,51.7,32.0,31.7,43.3,46.8,58.2,61.5,68.0,70.9,58.8,46.8,33.0,30.9,716.0,620.0,326.0,158.0,29.0,0.0,0.0,0.0,15.0,189.0,593.0,734.0,0.0,0.0,30.0,30.0,166.0,253.0,442.0,502.0,203.0,38.0,0.0,0.0,Wheat
01121,34.0,1995,33.377467343415674,-86.16749103144913,3.92,7.89,4.97,4.86,1.67,3.09,2.57,3.28,4.88,10.57,6.26,5.21,43.8,46.1,57.2,61.7,71.2,74.2,81.4,81.7,72.1,61.7,47.9,42.6,55.0,57.4,69.0,76.3,83.5,86.4,94.3,92.6,84.0,74.3,59.7,53.6,32.6,34.7,45.4,47.0,58.9,62.1,68.6,70.8,60.3,49.1,36.1,31.7,667.0,530.0,273.0,131.0,15.0,0.0,0.0,0.0,8.0,154.0,512.0,694.0,9.0,0.0,32.0,32.0,207.0,278.0,510.0,519.0,222.0,50.0,0.0,0.0,Wheat
01125,40.0,1995,33.28961721031977,-87.52287706395533,3.88,5.85,5.24,5.05,2.95,3.86,4.34,3.47,2.66,8.06,6.58,3.83,44.4,46.0,57.9,63.8,72.4,75.3,81.5,83.2,73.6,62.6,49.2,43.7,54.4,57.0,68.8,76.7,83.0,86.5,92.8,93.6,85.2,74.6,60.9,53.9,34.3,34.9,47.1,50.9,61.8,64.2,70.3,72.9,61.9,50.6,37.5,33.6,649.0,533.0,259.0,96.0,11.0,0.0,0.0,0.0,6.0,134.0,474.0,660.0,9.0,0.0,40.0,61.0,241.0,310.0,513.0,566.0,264.0,61.0,0.0,0.0,Wheat
01061,32.0,1995,31.095350761807335,-85.83803284716063,5.23,6.54,5.44,5.05,4.87,3.42,4.21,5.41,1.92,9.62,6.13,3.1,49.0,52.1,61.2,64.9,74.8,77.1,81.6,81.5,76.6,68.0,54.0,48.8,60.3,64.3,71.8,77.1,86.1,87.8,92.6,91.0,88.0,79.3,65.9,59.3,37.8,39.9,50.6,52.8,63.4,66.3,70.5,71.9,65.3,56.6,42.1,38.2,516.0,374.0,176.0,75.0,0.0,0.0,0.0,0.0,0.0,45.0,338.0,509.0,21.0,14.0,58.0,73.0,302.0,363.0,514.0,510.0,349.0,136.0,8.0,6.0,Wheat
04013,79.6,1995,33.3488682574538,-112.49150982280672,2.39,0.88,1.08,0.32,0.05,0.01,0.12,1.38,0.81,0.0,0.78,0.01,52.3,60.7,61.2,64.8,71.8,82.0,90.4,91.8,86.1,73.3,64.9,54.7,62.2,73.7,74.6,79.7,86.5,98.7,105.4,105.1,99.3,90.1,79.2,68.8,42.4,47.8,47.7,50.0,57.1,65.3,75.4,78.5,72.9,56.5,50.6,40.6,398.0,161.0,167.0,101.0,19.0,0.0,0.0,0.0,0.0,10.0,88.0,324.0,0.0,41.0,49.0,96.0,230.0,511.0,788.0,831.0,633.0,268.0,85.0,0.0,Wheat
04021,73.8,1995,32.903850691284745,-111.34482607873848,2.36,1.62,1.11,0.43,0.19,0.01,0.3,2.64,1.43,0.01,0.76,0.14,50.0,58.0,59.2,62.9,70.7,81.1,88.7,89.0,83.6,72.0,62.8,53.4,60.8,71.2,73.2,78.7,86.0,98.2,104.0,102.4,97.2,88.8,77.3,67.2,39.1,44.8,45.2,47.1,55.3,64.1,73.5,75.6,70.1,55.4,48.4,39.4,465.0,216.0,210.0,130.0,23.0,0.0,0.0,0.0,0.0,12.0,123.0,361.0,0.0,21.0,30.0,67.0,199.0,484.0,736.0,745.0,559.0,230.0,58.0,0.0,Wheat
04009,70.0,1995,32.93166095642401,-109.88800117017018,2.52,1.96,0.98,0.37,0.37,0.07,0.72,2.85,1.69,0.03,0.83,0.43,43.1,50.9,52.0,55.3,62.8,73.8,80.1,80.4,73.4,64.2,55.4,45.4,53.3,63.4,65.0,70.7,77.5,90.0,95.1,93.3,86.6,80.4,69.8,58.4,32.8,38.3,38.9,39.9,48.2,57.5,65.0,67.5,60.2,48.1,41.0,32.3,680.0,395.0,404.0,299.0,117.0,0.0,0.0,0.0,0.0,82.0,293.0,607.0,0.0,0.0,0.0,7.0,50.0,266.0,467.0,477.0,253.0,59.0,5.0,0.0,Wheat
04019,70.0,1995,32.097214986586906,-111.79044826518313,1.24,1.43,0.51,0.37,0.1,0.0,0.44,2.97,1.17,0.34,0.86,0.16,50.2,57.9,58.4,61.7,68.6,79.0,86.6,86.6,81.6,71.0,62.1,52.6,61.9,71.4,72.7,77.9,84.1,96.3,102.0,100.0,95.4,88.5,77.1,67.7,38.4,44.4,44.1,45.5,53.0,61.8,71.1,73.2,67.8,53.5,47.0,37.6,459.0,219.0,229.0,150.0,39.0,0.0,0.0,0.0,0.0,18.0,138.0,383.0,0.0,20.0,25.0,50.0,149.0,422.0,669.0,670.0,498.0,205.0,50.0,0.0,Wheat
04012,93.7,1995,33.729964750045454,-113.97969892726525,2.09,0.89,0.59,0.53,0.02,0.0,0.22,0.39,0.07,0.0,0.14,0.03,53.3,61.6,61.6,66.6,72.8,83.5,92.3,94.0,87.8,74.2,66.2,55.4,62.8,74.3,74.4,80.7,86.5,99.1,107.0,107.2,101.4,90.2,81.0,68.8,43.8,48.8,48.8,52.6,59.0,67.9,77.5,80.7,74.3,58.1,51.4,42.0,370.0,145.0,158.0,77.0,17.0,0.0,0.0,0.0,0.0,9.0,68.0,302.0,7.0,48.0,53.0,126.0,257.0,554.0,846.0,898.0,686.0,293.0,105.0,6.0,Wheat
04027,107.0,1995,32.76909350801832,-113.90625597469804,1.1,0.37,0.33,0.22,0.0,0.0,0.17,0.16,0.09,0.01,0.05,0.0,54.7,63.3,63.8,67.4,72.9,82.9,91.8,94.2,88.8,75.2,67.2,56.9,65.6,77.1,78.0,82.4,87.6,99.6,106.7,107.3,102.2,92.0,82.5,71.3,43.7,49.5,49.7,52.3,58.1,66.2,76.9,81.1,75.3,58.5,52.0,42.5,329.0,115.0,115.0,63.0,14.0,0.0,0.0,0.0,0.0,6.0,56.0,259.0,9.0,68.0,79.0,134.0,258.0,538.0,831.0,905.0,713.0,324.0,123.0,8.0,Wheat
05029,39.8,1995,35.26575970890724,-92.69911895475579,3.93,1.63,3.8,7.09,4.8,2.67,4.49,0.63,2.42,2.24,3.47,4.64,40.7,44.2,53.1,59.3,67.8,74.1,80.1,83.8,69.2,61.6,47.5,39.5,49.8,56.5,64.4,72.1,77.6,85.3,91.4,96.4,80.1,76.3,60.8,49.3,31.5,31.9,41.8,46.5,57.9,62.9,68.7,71.1,58.4,46.8,34.2,29.8,755.0,582.0,387.0,189.0,39.0,0.0,0.0,0.0,32.0,148.0,525.0,789.0,0.0,0.0,18.0,18.0,125.0,277.0,467.0,582.0,158.0,42.0,0.0,0.0,Wheat
05045,56.1,1995,35.15130873087863,-92.3328196751213,3.68,1.94,3.83,6.02,4.45,2.53,4.14,0.75,1.95,2.88,3.75,4.59,41.2,44.7,53.7,60.2,68.5,74.7,80.4,84.0,69.9,62.5,47.8,39.8,50.8,56.7,64.4,72.3,78.3,85.8,91.7,96.4,80.9,76.9,60.5,49.3,31.7,32.8,42.9,48.0,58.7,63.6,69.2,71.7,58.9,48.1,35.2,30.4,737.0,568.0,372.0,168.0,32.0,0.0,0.0,0.0,27.0,133.0,516.0,780.0,0.0,0.0,21.0,23.0,140.0,291.0,478.0,590.0,175.0,55.0,0.0,0.0,Wheat
05119,43.3,1995,34.77335107682366,-92.31511117333838,4.45,2.17,3.62,5.16,4.34,2.24,3.92,0.4,1.79,4.23,2.89,3.58,42.3,45.6,54.3,61.3,69.5,75.8,81.3,84.7,70.7,62.9,48.8,41.0,51.9,57.5,64.9,73.2,79.4,87.1,92.4,97.0,81.9,77.3,61.6,50.0,32.7,33.8,43.8,49.4,59.6,64.4,70.1,72.5,59.6,48.4,36.1,32.1,704.0,542.0,353.0,142.0,23.0,0.0,0.0,0.0,22.0,126.0,484.0,743.0,0.0,0.0,22.0,32.0,163.0,323.0,505.0,612.0,194.0,60.0,0.0,0.0,Wheat
05001,60.0,1995,34.28571178790588,-91.37260076487702,4.92,2.32,3.64,7.14,2.89,1.84,4.15,0.76,0.6,2.0,2.51,6.31,43.0,45.3,55.8,62.2,70.8,76.8,80.9,83.9,71.9,63.7,49.2,42.2,51.2,55.8,65.8,73.3,80.4,86.7,91.0,95.0,84.0,78.4,60.8,50.3,34.8,34.8,45.9,51.2,61.2,67.0,70.8,72.9,59.9,49.0,37.6,34.1,683.0,552.0,314.0,127.0,16.0,0.0,0.0,0.0,14.0,116.0,473.0,706.0,0.0,0.0,30.0,44.0,195.0,355.0,493.0,587.0,222.0,74.0,0.0,0.0,Wheat
05035,48.0,1995,35.20376102857639,-90.30838650162374,5.37,1.83,2.17,4.8,4.72,2.8,7.99,3.16,0.83,2.1,5.98,3.52,41.0,43.3,54.5,62.2,70.6,76.5,80.2,83.1,71.0,63.3,46.8,41.3,49.3,53.2,65.3,73.2,80.2,86.9,90.2,93.1,82.1,76.2,57.3,49.4,32.7,33.4,43.8,51.1,60.9,66.0,70.2,73.2,59.8,50.3,36.3,33.3,744.0,608.0,351.0,129.0,22.0,0.0,0.0,0.0,22.0,126.0,545.0,733.0,0.0,0.0,26.0,44.0,194.0,344.0,472.0,562.0,200.0,73.0,0.0,0.0,Wheat
05037,50.9,1995,35.29456826247048,-90.77156177403677,5.73,2.31,3.15,5.8,5.52,2.54,4.99,1.58,1.38,3.29,3.55,2.91,40.3,42.6,53.2,60.9,69.7,76.1,80.0,82.6,69.5,63.0,46.7,40.6,48.5,53.0,63.5,71.6,79.6,86.4,89.5,92.7,80.7,76.0,57.2,48.2,32.1,32.3,42.8,50.2,59.7,65.7,70.5,72.5,58.2,50.0,36.2,33.0,766.0,626.0,387.0,155.0,28.0,0.0,0.0,0.0,33.0,129.0,550.0,755.0,0.0,0.0,20.0,32.0,172.0,332.0,465.0,547.0,168.0,67.0,0.0,0.0,Wheat
05077,44.9,1995,34.784445078124634,-90.78725320281788,5.02,1.77,2.58,5.51,3.91,3.13,6.07,1.55,0.72,2.2,4.4,4.72,41.6,44.1,54.7,62.3,70.6,76.6,80.7,83.4,71.3,63.3,48.1,41.4,49.3,54.0,65.1,73.6,80.4,86.7,90.7,93.8,82.9,77.1,58.9,49.4,33.9,34.2,44.3,51.0,60.8,66.6,70.7,73.0,59.8,49.6,37.3,33.4,725.0,584.0,344.0,127.0,20.0,0.0,0.0,0.0,17.0,124.0,507.0,731.0,0.0,0.0,25.0,45.0,193.0,349.0,486.0,570.0,207.0,72.0,0.0,0.0,Wheat
05085,48.2,1995,34.75564317050816,-91.88957926407626,4.69,2.36,3.36,5.75,3.58,1.9,4.57,0.54,1.01,3.42,3.11,4.11,42.2,45.2,54.4,61.6,69.9,76.3,81.1,84.3,70.9,63.2,48.7,41.1,51.5,56.6,64.4,73.1,79.8,87.2,91.8,96.0,82.3,77.4,60.7,49.6,33.0,33.8,44.3,50.1,60.1,65.5,70.5,72.7,59.5,49.1,36.7,32.7,706.0,553.0,353.0,137.0,20.0,0.0,0.0,0.0,20.0,121.0,490.0,740.0,0.0,0.0,23.0,36.0,173.0,340.0,500.0,600.0,197.0,66.0,0.0,0.0,Wheat
05095,50.0,1995,34.67590426528143,-91.20695171250594,5.04,2.04,3.13,7.17,3.41,2.18,4.9,0.8,0.54,2.37,3.41,5.01,42.0,44.6,55.3,62.1,70.4,76.7,80.7,83.7,71.1,63.2,48.3,41.4,49.9,54.8,65.4,73.4,79.9,86.8,90.7,94.7,83.0,77.5,59.7,49.4,34.2,34.5,45.2,50.9,61.0,66.7,70.7,72.7,59.3,48.9,37.0,33.4,712.0,570.0,328.0,130.0,21.0,0.0,0.0,0.0,18.0,127.0,501.0,732.0,0.0,0.0,28.0,44.0,190.0,352.0,486.0,581.0,202.0,71.0,0.0,0.0,Wheat
05107,43.7,1995,34.43531846626452,-90.85059297594024,5.06,2.06,3.65,5.58,3.7,3.17,4.56,1.23,0.42,1.75,3.29,6.36,42.5,44.5,55.7,62.6,71.1,76.6,80.8,83.9,72.2,63.8,48.8,41.7,50.2,54.6,65.8,73.7,80.5,86.1,90.7,94.4,83.7,77.4,59.9,49.8,34.7,34.4,45.6,51.4,61.6,67.0,70.8,73.4,60.6,50.2,37.6,33.7,698.0,574.0,319.0,121.0,17.0,0.0,0.0,0.0,13.0,115.0,487.0,722.0,0.0,0.0,29.0,48.0,205.0,347.0,489.0,587.0,227.0,78.0,0.0,0.0,Wheat
05117,55.3,1995,34.833082163793264,-91.55279635708723,4.98,2.19,3.33,6.6,3.1,2.15,4.23,0.42,1.1,3.03,3.09,4.13,42.2,44.9,55.0,61.9,70.1,76.7,81.0,84.1,70.9,63.4,48.3,41.1,50.5,55.6,65.0,73.5,80.0,87.2,91.4,95.5,82.4,77.5,60.0,49.3,33.7,34.1,45.0,50.3,60.2,66.2,70.6,72.7,59.4,49.3,36.7,32.9,708.0,563.0,337.0,133.0,21.0,0.0,0.0,0.0,20.0,120.0,500.0,741.0,0.0,0.0,27.0,40.0,180.0,352.0,496.0,592.0,197.0,70.0,0.0,0.0,Wheat
